id,VEREDA,MUNICIPIO
,Agua Blanca Alta,5
,Agua Blanca Baja,5
,Albania,2
,Arrugas,5
,Atarrayas,5
,Bajo Cascajales,5
,Campo 13,2
,Campo 14,2
,Campo 16,2
,Campo 23,5
,Campo 25,2
,Campo 32,2
,Campo 38,2
,Campo 45,14
,Campo 5,2
,Campo 6,2
,Campo Gala,2
,Campo Galán,2
,Caño Doradas,14
,Caño Indio,2
,Caño Lajas,7
,Casa de Barro (La Putana),2
,Cerro Negro,14
,Ciénaga Brava,2
,Ciénaga de Opón,2
,Comuneros,2
,Cretaceo,2
,Cuatro Bocas,2
,Danto Alto,13
,Diviso de los Andes,5
,Dos Bocas,5
,El Centro - Campo 22,2
,El Diviso La Colorada,5
,El Edén,13
,El Palmar,2
,El Treinta,5
,El Veintisiete,5
,El Zarzal,2
,Guayabal,5
,Isla del Rio Magdalena,14
,La Arenosa,5
,La Ceiba,2
,La Cira,2
,La Colorada,13
,La Cristalina,14
,La Esperanza,5
,La Florida,13
,La Forest,2
,La Fortuna,2
,La Legia,2
,La Plazuela,3
,La Reserva,13
,La Ye,14
,Las Marias,2
,Llana de Cascajales,5
,Llanito Alto,2
,Llanito Bajo,2
,Los Olivos,13
,Meseta de San Rafael,2
,Oponcito,2
,Peroles,2
,Planta Nueva,2
,Pueblo Regao,2
,Puente Sogamoso,2
,Quemadero,2
,Rancho Chile,14
,Sabalo,14
,San Luis,2
,San Luis,5
,San Pedro,2
,San Silvestre,2
,Santo Domingo,2
,Sogamoso,2
,Taguales,5
,Tapazón,2
,Tempestuosa,2
,Tenerife,2
,Tierradentro,2
,Tres Amigos,5
,Vara Santa,2
,Vista Hermosa,14
,Vizcaina,2
,Vizcaina Baja,2
,Yarima - Campo 50,5
,Zona de Expansión Industrial,14
,Zona de Expansión Urbana,14
,Zona Urbana,13
